Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 88.0.4324.96,,,2021-02-11 21:19:53,2021-02-11 21:21:21,1m - 28.124s,FAILED
,,,,,,,
Test Cases/BrowseCatalog,Chrome 88.0.4324.96,,,2021-02-11 21:19:55,2021-02-11 21:20:59,1m - 3.871s,PASSED
"openBrowser("""")",Chrome 88.0.4324.96,,,2021-02-11 21:19:55,2021-02-11 21:20:01,5.449s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-11 21:20:01,2021-02-11 21:20:03,2.214s,PASSED
navigateToUrl(RegalURL),Chrome 88.0.4324.96,,,2021-02-11 21:20:03,2021-02-11 21:20:13,10.762s,PASSED
"sendKeys(findTestObject(""HomePage/Search_area""), ""severe duty motors"")",Chrome 88.0.4324.96,,,2021-02-11 21:20:13,2021-02-11 21:20:16,2.223s,PASSED
"click(findTestObject(""HomePage/Search_Button""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:16,2021-02-11 21:20:16,0.637s,PASSED
"click(findTestObject(""ProductListPage/Brand_Filter""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:16,2021-02-11 21:20:24,7.306s,PASSED
"click(findTestObject(""ProductListPage/ProductOne""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:24,2021-02-11 21:20:25,1.453s,PASSED
"click(findTestObject(""HomePage/ProductList/TopScroll""), STOP_ON_FAILURE)",Chrome 88.0.4324.96,,,2021-02-11 21:20:25,2021-02-11 21:20:26,1.301s,PASSED
"click(findTestObject(""ProductListPage/Product_Two""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:26,2021-02-11 21:20:27,0.772s,PASSED
"click(findTestObject(""HomePage/ProductList/TopScroll""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:27,2021-02-11 21:20:29,1.354s,PASSED
"click(findTestObject(""ProductListPage/Product_Three""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:29,2021-02-11 21:20:30,1.004s,PASSED
"click(findTestObject(""ProductListPage/CompareButton""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:30,2021-02-11 21:20:33,3.546s,PASSED
"click(findTestObject(""ProductListPage/ProductOnCompareList""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:33,2021-02-11 21:20:38,5.360s,PASSED
"scrollToPosition(0, 500)",Chrome 88.0.4324.96,,,2021-02-11 21:20:38,2021-02-11 21:20:39,0.093s,PASSED
"click(findTestObject(""ProductListPage/RemoveFromCompareList""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:39,2021-02-11 21:20:40,1.298s,PASSED
"scrollToPosition(500, 0)",Chrome 88.0.4324.96,,,2021-02-11 21:20:40,2021-02-11 21:20:40,0.042s,PASSED
"click(findTestObject(""ProductListPage/WhereToBuyButton""))",Chrome 88.0.4324.96,,,2021-02-11 21:20:40,2021-02-11 21:20:58,18.002s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-11 21:20:58,2021-02-11 21:20:59,0.733s,PASSED
,,,,,,,
Test Cases/TestOn,Chrome 88.0.4324.96,,,2021-02-11 21:20:59,2021-02-11 21:21:21,22.369s,FAILED
"openBrowser("""")",Chrome 88.0.4324.96,,,2021-02-11 21:20:59,2021-02-11 21:21:04,4.661s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 88.0.4324.96,,,2021-02-11 21:21:04,2021-02-11 21:21:06,2.270s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-11 21:21:06,2021-02-11 21:21:06,0.638s,PASSED
"openBrowser("""")",Chrome 88.0.4324.96,,,2021-02-11 21:21:06,2021-02-11 21:21:11,4.671s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 88.0.4324.96,,,2021-02-11 21:21:11,2021-02-11 21:21:13,2.029s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-11 21:21:13,2021-02-11 21:21:14,0.654s,PASSED
"openBrowser("""")",Chrome 88.0.4324.96,,,2021-02-11 21:21:14,2021-02-11 21:21:18,4.659s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 88.0.4324.96,,,2021-02-11 21:21:18,2021-02-11 21:21:21,2.101s,PASSED
"click(findTestObject(""Object Repository/Page_Google/input_Remove_btnK""))",Chrome 88.0.4324.96,,,2021-02-11 21:21:21,2021-02-11 21:21:21,0.443s,FAILED
