Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 88.0.4324.96,,,2021-02-22 18:57:47,2021-02-22 18:58:14,26.708s,FAILED
,,,,,,,
Test Cases/BrowserProductElink,Chrome 88.0.4324.96,,,2021-02-22 18:57:49,2021-02-22 18:58:14,25.052s,FAILED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-22 18:57:49,2021-02-22 18:58:00,11.275s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-22 18:58:00,2021-02-22 18:58:02,2.215s,PASSED
delay(4),Chrome 88.0.4324.96,,,2021-02-22 18:58:02,2021-02-22 18:58:06,4.030s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Products""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 18:58:06,2021-02-22 18:58:07,0.553s,PASSED
"mouseOver(findTestObject(""HomePage/ProductList/Products""))",Chrome 88.0.4324.96,,,2021-02-22 18:58:07,2021-02-22 18:58:07,0.539s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Bearings""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 18:58:07,2021-02-22 18:58:08,0.387s,PASSED
"click(findTestObject(""HomePage/ProductList/Bearings""))",Chrome 88.0.4324.96,,,2021-02-22 18:58:08,2021-02-22 18:58:11,2.736s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/SmartInterchage""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 18:58:11,2021-02-22 18:58:12,1.100s,PASSED
"click(findTestObject(""HomePage/ProductList/SmartInterchage""))",Chrome 88.0.4324.96,,,2021-02-22 18:58:12,2021-02-22 18:58:14,1.911s,FAILED
