Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
R4 TestRail Testcases,Chrome 91.0.4472.101,,,2021-07-22 18:57:46,2021-07-22 18:57:59,12.613s,PASSED
,,,,,,,
Test Cases/TestRail TestCases/katalon One,Chrome 91.0.4472.101,,,2021-07-22 18:57:48,2021-07-22 18:57:56,7.101s,PASSED
"openBrowser("""")",Chrome 91.0.4472.101,,,2021-07-22 18:57:49,2021-07-22 18:57:55,6.087s,PASSED
closeBrowser(),Chrome 91.0.4472.101,,,2021-07-22 18:57:55,2021-07-22 18:57:56,0.701s,PASSED
,,,,,,,
Test Cases/TestRail TestCases/Katalon two,Chrome 91.0.4472.101,,,2021-07-22 18:57:56,2021-07-22 18:57:59,3.548s,PASSED
"openBrowser("""")",Chrome 91.0.4472.101,,,2021-07-22 18:57:56,2021-07-22 18:57:58,2.648s,PASSED
closeBrowser(),Chrome 91.0.4472.101,,,2021-07-22 18:57:58,2021-07-22 18:57:59,0.646s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 91.0.4472.101,,,2021-07-22 18:57:59,2021-07-22 18:57:59,0.017s,PASSED
