Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestDemo20210430,Chrome 91.0.4472.101,,,2021-07-26 20:36:33,2021-07-26 20:36:50,17.470s,PASSED
,,,,,,,
Test Cases/Smoke Test Cases/Login Verification,Chrome 91.0.4472.101,,,2021-07-26 20:36:35,2021-07-26 20:36:43,7.833s,PASSED
"openBrowser(""https://www.google.com/"")",Chrome 91.0.4472.101,,,2021-07-26 20:36:36,2021-07-26 20:36:43,7.530s,PASSED
,,,,,,,
Test Cases/Smoke Test Cases/Logout Verification,Chrome 91.0.4472.101,,,2021-07-26 20:36:43,2021-07-26 20:36:50,7.348s,PASSED
"openBrowser(""https://www.google.com/"")",Chrome 91.0.4472.101,,,2021-07-26 20:36:43,2021-07-26 20:36:50,7.091s,PASSED
