Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 88.0.4324.96,,,2021-02-12 19:18:43,2021-02-12 19:19:49,1m - 5.535s,FAILED
,,,,,,,
Test Cases/BrowserProductElink,Chrome 88.0.4324.96,,,2021-02-12 19:18:45,2021-02-12 19:19:23,37.920s,PASSED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-12 19:18:45,2021-02-12 19:18:58,13.234s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Products""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:18:58,2021-02-12 19:19:00,2.108s,PASSED
"mouseOver(findTestObject(""HomePage/ProductList/Products""))",Chrome 88.0.4324.96,,,2021-02-12 19:19:00,2021-02-12 19:19:01,0.512s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Bearings""), 10000)",Chrome 88.0.4324.96,,,2021-02-12 19:19:01,2021-02-12 19:19:01,0.361s,PASSED
"click(findTestObject(""HomePage/ProductList/Bearings""))",Chrome 88.0.4324.96,,,2021-02-12 19:19:01,2021-02-12 19:19:04,2.406s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/SmartInterchage""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:19:04,2021-02-12 19:19:05,1.379s,PASSED
"click(findTestObject(""HomePage/ProductList/SmartInterchage""))",Chrome 88.0.4324.96,,,2021-02-12 19:19:05,2021-02-12 19:19:06,0.442s,PASSED
switchToWindowIndex(1),Chrome 88.0.4324.96,,,2021-02-12 19:19:06,2021-02-12 19:19:06,0.036s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/RegalIcon""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:19:06,2021-02-12 19:19:18,12.513s,PASSED
"click(findTestObject(""HomePage/ProductList/RegalIcon""))",Chrome 88.0.4324.96,,,2021-02-12 19:19:18,2021-02-12 19:19:22,3.717s,PASSED
closeWindowIndex(1),Chrome 88.0.4324.96,,,2021-02-12 19:19:22,2021-02-12 19:19:22,0.187s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-12 19:19:22,2021-02-12 19:19:23,0.745s,PASSED
,,,,,,,
Test Cases/TestExample,Chrome 88.0.4324.96,,,2021-02-12 19:19:23,2021-02-12 19:19:49,25.942s,FAILED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-12 19:19:23,2021-02-12 19:19:33,9.970s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-12 19:19:33,2021-02-12 19:19:35,2.178s,PASSED
"sendKeys(findTestObject(""HomePage/Search_area""), ""severe duty motors"")",Chrome 88.0.4324.96,,,2021-02-12 19:19:35,2021-02-12 19:19:36,0.443s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Search_Button""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:19:36,2021-02-12 19:19:36,0.363s,PASSED
"click(findTestObject(""HomePage/Search_Button""))",Chrome 88.0.4324.96,,,2021-02-12 19:19:36,2021-02-12 19:19:36,0.424s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/Brand_Filter""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:19:36,2021-02-12 19:19:40,4.032s,PASSED
"click(findTestObject(""ProductListPage/Brand_Filter""))",Chrome 88.0.4324.96,,,2021-02-12 19:19:40,2021-02-12 19:19:43,2.864s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/ProductOne""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:19:43,2021-02-12 19:19:45,1.408s,PASSED
"click(findTestObject(""ProductListPage/ProductOne""))",Chrome 88.0.4324.96,,,2021-02-12 19:19:45,2021-02-12 19:19:45,0.517s,PASSED
"scrollToPosition(500, 0)",Chrome 88.0.4324.96,,,2021-02-12 19:19:45,2021-02-12 19:19:45,0.032s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/Product_Two""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:19:45,2021-02-12 19:19:46,1.131s,PASSED
"click(findTestObject(""ProductListPage/Product_Two""))",Chrome 88.0.4324.96,,,2021-02-12 19:19:46,2021-02-12 19:19:47,0.440s,PASSED
"scrollToPosition(500, 0)",Chrome 88.0.4324.96,,,2021-02-12 19:19:47,2021-02-12 19:19:47,0.021s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/CompareButton""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:19:47,2021-02-12 19:19:48,1.226s,PASSED
"click(findTestObject(""ProductListPage/CompareButton""))",Chrome 88.0.4324.96,,,2021-02-12 19:19:48,2021-02-12 19:19:49,0.690s,FAILED
