Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 89.0.4389.90,,,2021-04-29 13:41:21,2021-04-29 13:44:59,3m - 38.302s,FAILED
,,,,,,,
Test Cases/Regression Test Cases/BrowserProductElink,Chrome 89.0.4389.90,,,2021-04-29 13:41:22,2021-04-29 13:41:46,23.673s,FAILED
openBrowser(RegalURL),Chrome 89.0.4389.90,,,2021-04-29 13:41:23,2021-04-29 13:41:34,11.670s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-04-29 13:41:34,2021-04-29 13:41:34,0.171s,PASSED
delay(4),Chrome 89.0.4389.90,,,2021-04-29 13:41:34,2021-04-29 13:41:38,4.057s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Products""), 30000)",Chrome 89.0.4389.90,,,2021-04-29 13:41:38,2021-04-29 13:41:39,0.737s,PASSED
"mouseOver(findTestObject(""HomePage/ProductList/Products""))",Chrome 89.0.4389.90,,,2021-04-29 13:41:39,2021-04-29 13:41:40,0.544s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Bearings""), 30000)",Chrome 89.0.4389.90,,,2021-04-29 13:41:40,2021-04-29 13:41:40,0.350s,PASSED
"click(findTestObject(""HomePage/ProductList/Bearings""))",Chrome 89.0.4389.90,,,2021-04-29 13:41:40,2021-04-29 13:41:43,2.491s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/SmartInterchage""), 5000)",Chrome 89.0.4389.90,,,2021-04-29 13:41:43,2021-04-29 13:41:44,1.555s,PASSED
"click(findTestObject(""HomePage/ProductList/SmartInterchage""))",Chrome 89.0.4389.90,,,2021-04-29 13:41:44,2021-04-29 13:41:46,1.771s,FAILED
,,,,,,,
Test Cases/Regression Test Cases/BrowserCatalogGuest,Chrome 89.0.4389.90,,,2021-04-29 13:41:46,2021-04-29 13:42:09,23.548s,FAILED
openBrowser(RegalURL),Chrome 89.0.4389.90,,,2021-04-29 13:41:46,2021-04-29 13:41:56,10.107s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-04-29 13:41:56,2021-04-29 13:41:56,0.151s,PASSED
"sendKeys(findTestObject(""HomePage/Search_area""), ""severe duty motors"")",Chrome 89.0.4389.90,,,2021-04-29 13:41:56,2021-04-29 13:41:59,2.223s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Search_Button""), 5000)",Chrome 89.0.4389.90,,,2021-04-29 13:41:59,2021-04-29 13:41:59,0.335s,PASSED
"click(findTestObject(""HomePage/Search_Button""))",Chrome 89.0.4389.90,,,2021-04-29 13:41:59,2021-04-29 13:41:59,0.423s,PASSED
