Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 88.0.4324.96,,,2021-02-08 22:14:08,2021-02-08 22:14:18,10.610s,PASSED
,,,,,,,
Test Cases/TestOn,Chrome 88.0.4324.96,,,2021-02-08 22:14:09,2021-02-08 22:14:18,8.966s,PASSED
"openBrowser("""")",Chrome 88.0.4324.96,,,2021-02-08 22:14:10,2021-02-08 22:14:15,5.082s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 88.0.4324.96,,,2021-02-08 22:14:15,2021-02-08 22:14:18,2.918s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-08 22:14:18,2021-02-08 22:14:18,0.661s,PASSED
