Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 88.0.4324.96,,,2021-02-22 12:20:02,2021-02-22 12:23:48,3m - 46.545s,FAILED
,,,,,,,
Test Cases/BrowserProductElink,Chrome 88.0.4324.96,,,2021-02-22 12:20:03,2021-02-22 12:20:47,43.324s,PASSED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-22 12:20:04,2021-02-22 12:20:19,15.304s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-22 12:20:19,2021-02-22 12:20:21,2.236s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Products""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 12:20:21,2021-02-22 12:20:22,0.720s,PASSED
"mouseOver(findTestObject(""HomePage/ProductList/Products""))",Chrome 88.0.4324.96,,,2021-02-22 12:20:22,2021-02-22 12:20:23,0.651s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Bearings""), 10000)",Chrome 88.0.4324.96,,,2021-02-22 12:20:23,2021-02-22 12:20:23,0.366s,PASSED
"click(findTestObject(""HomePage/ProductList/Bearings""))",Chrome 88.0.4324.96,,,2021-02-22 12:20:23,2021-02-22 12:20:26,3.367s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/SmartInterchage""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 12:20:26,2021-02-22 12:20:28,1.321s,PASSED
"click(findTestObject(""HomePage/ProductList/SmartInterchage""))",Chrome 88.0.4324.96,,,2021-02-22 12:20:28,2021-02-22 12:20:28,0.435s,PASSED
switchToWindowIndex(1),Chrome 88.0.4324.96,,,2021-02-22 12:20:28,2021-02-22 12:20:28,0.034s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/RegalIcon""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 12:20:28,2021-02-22 12:20:40,11.808s,PASSED
"click(findTestObject(""HomePage/ProductList/RegalIcon""))",Chrome 88.0.4324.96,,,2021-02-22 12:20:40,2021-02-22 12:20:46,5.788s,PASSED
closeWindowIndex(1),Chrome 88.0.4324.96,,,2021-02-22 12:20:46,2021-02-22 12:20:46,0.184s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-22 12:20:46,2021-02-22 12:20:47,0.767s,PASSED
,,,,,,,
Test Cases/BrowserCatalogGuest,Chrome 88.0.4324.96,,,2021-02-22 12:20:47,2021-02-22 12:21:51,1m - 4.657s,PASSED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-22 12:20:47,2021-02-22 12:20:59,12.542s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-22 12:20:59,2021-02-22 12:21:02,2.184s,PASSED
"sendKeys(findTestObject(""HomePage/Search_area""), ""severe duty motors"")",Chrome 88.0.4324.96,,,2021-02-22 12:21:02,2021-02-22 12:21:03,1.077s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Search_Button""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 12:21:03,2021-02-22 12:21:03,0.337s,PASSED
"click(findTestObject(""HomePage/Search_Button""))",Chrome 88.0.4324.96,,,2021-02-22 12:21:03,2021-02-22 12:21:04,1.194s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/Brand_Filter""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 12:21:04,2021-02-22 12:21:09,5.099s,PASSED
