Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 89.0.4389.90,,,2021-04-29 13:35:27,2021-04-29 13:35:53,25.450s,FAILED
,,,,,,,
Test Cases/Regression Test Cases/BrowserProductElink,Chrome 89.0.4389.90,,,2021-04-29 13:35:29,2021-04-29 13:35:53,23.638s,FAILED
openBrowser(RegalURL),Chrome 89.0.4389.90,,,2021-04-29 13:35:29,2021-04-29 13:35:41,11.360s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-04-29 13:35:41,2021-04-29 13:35:41,0.165s,PASSED
delay(4),Chrome 89.0.4389.90,,,2021-04-29 13:35:41,2021-04-29 13:35:45,4.033s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Products""), 30000)",Chrome 89.0.4389.90,,,2021-04-29 13:35:45,2021-04-29 13:35:45,0.609s,PASSED
"mouseOver(findTestObject(""HomePage/ProductList/Products""))",Chrome 89.0.4389.90,,,2021-04-29 13:35:45,2021-04-29 13:35:46,0.535s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Bearings""), 30000)",Chrome 89.0.4389.90,,,2021-04-29 13:35:46,2021-04-29 13:35:46,0.330s,PASSED
"click(findTestObject(""HomePage/ProductList/Bearings""))",Chrome 89.0.4389.90,,,2021-04-29 13:35:46,2021-04-29 13:35:49,3.162s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/SmartInterchage""), 5000)",Chrome 89.0.4389.90,,,2021-04-29 13:35:49,2021-04-29 13:35:51,1.420s,PASSED
"click(findTestObject(""HomePage/ProductList/SmartInterchage""))",Chrome 89.0.4389.90,,,2021-04-29 13:35:51,2021-04-29 13:35:53,1.732s,FAILED
