Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestRail,,,,2021-07-22 16:05:36,2021-07-22 16:05:39,2.827s,FAILED
,,,,,,,
Test Cases/TestRail TestCases/katalon One,,,,2021-07-22 16:05:38,2021-07-22 16:05:38,0.305s,PASSED
return null,,,,2021-07-22 16:05:38,2021-07-22 16:05:38,0.001s,PASSED
,,,,,,,
Test Cases/TestRail TestCases/Katalon two,,,,2021-07-22 16:05:38,2021-07-22 16:05:39,0.517s,FAILED
acceptAlert(),,,,2021-07-22 16:05:38,2021-07-22 16:05:39,0.298s,FAILED
