Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 88.0.4324.96,,,2021-02-09 13:27:22,2021-02-09 13:27:33,11.098s,PASSED
,,,,,,,
Test Cases/TestOn,Chrome 88.0.4324.96,,,2021-02-09 13:27:24,2021-02-09 13:27:33,9.451s,PASSED
"openBrowser("""")",Chrome 88.0.4324.96,,,2021-02-09 13:27:24,2021-02-09 13:27:29,5.091s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 88.0.4324.96,,,2021-02-09 13:27:29,2021-02-09 13:27:32,2.712s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-09 13:27:32,2021-02-09 13:27:33,1.375s,PASSED
