Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 88.0.4324.96,,,2021-02-12 19:47:47,2021-02-12 19:49:17,1m - 30.695s,PASSED
,,,,,,,
Test Cases/BrowserProductElink,Chrome 88.0.4324.96,,,2021-02-12 19:47:48,2021-02-12 19:48:23,34.823s,PASSED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-12 19:47:49,2021-02-12 19:47:59,10.806s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Products""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:47:59,2021-02-12 19:48:01,1.938s,PASSED
"mouseOver(findTestObject(""HomePage/ProductList/Products""))",Chrome 88.0.4324.96,,,2021-02-12 19:48:01,2021-02-12 19:48:02,0.510s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Bearings""), 10000)",Chrome 88.0.4324.96,,,2021-02-12 19:48:02,2021-02-12 19:48:02,0.329s,PASSED
"click(findTestObject(""HomePage/ProductList/Bearings""))",Chrome 88.0.4324.96,,,2021-02-12 19:48:02,2021-02-12 19:48:04,2.102s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/SmartInterchage""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:48:04,2021-02-12 19:48:06,1.441s,PASSED
"click(findTestObject(""HomePage/ProductList/SmartInterchage""))",Chrome 88.0.4324.96,,,2021-02-12 19:48:06,2021-02-12 19:48:06,0.424s,PASSED
switchToWindowIndex(1),Chrome 88.0.4324.96,,,2021-02-12 19:48:06,2021-02-12 19:48:06,0.033s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/RegalIcon""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:48:06,2021-02-12 19:48:17,10.726s,PASSED
"click(findTestObject(""HomePage/ProductList/RegalIcon""))",Chrome 88.0.4324.96,,,2021-02-12 19:48:17,2021-02-12 19:48:22,5.320s,PASSED
closeWindowIndex(1),Chrome 88.0.4324.96,,,2021-02-12 19:48:22,2021-02-12 19:48:22,0.161s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-12 19:48:22,2021-02-12 19:48:23,0.756s,PASSED
,,,,,,,
Test Cases/TestExample,Chrome 88.0.4324.96,,,2021-02-12 19:48:23,2021-02-12 19:49:17,54.177s,PASSED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-12 19:48:23,2021-02-12 19:48:33,9.981s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-12 19:48:33,2021-02-12 19:48:36,2.218s,PASSED
"sendKeys(findTestObject(""HomePage/Search_area""), ""severe duty motors"")",Chrome 88.0.4324.96,,,2021-02-12 19:48:36,2021-02-12 19:48:36,0.451s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Search_Button""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:48:36,2021-02-12 19:48:36,0.355s,PASSED
"click(findTestObject(""HomePage/Search_Button""))",Chrome 88.0.4324.96,,,2021-02-12 19:48:36,2021-02-12 19:48:37,0.454s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/Brand_Filter""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:48:37,2021-02-12 19:48:41,4.251s,PASSED
"click(findTestObject(""ProductListPage/Brand_Filter""))",Chrome 88.0.4324.96,,,2021-02-12 19:48:41,2021-02-12 19:48:44,2.805s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/ProductOne""), 5000)",Chrome 88.0.4324.96,,,2021-02-12 19:48:44,2021-02-12 19:48:45,1.373s,PASSED
"click(findTestObject(""ProductListPage/ProductOne""))",Chrome 88.0.4324.96,,,2021-02-12 19:48:45,2021-02-12 19:48:46,0.475s,PASSED
